temporada,episodio,nombre_episodio,frase,personaje
1,11, The Limo," No, this is perfect. It's meant to be. We're all back together.",Ted
1,11, The Limo, What happened?,Lily
1,11, The Limo, Derek's stuck in Connecticut closing some deal. Who works on New Year's Eve? Okay. Now I feel worse. I was really looking forward to this night. This sucks.,Robin
1,11, The Limo," Oh, dude, not now!",Marshall
1,11, The Limo, What? She needs to get psyched. Fine.,Barney
1,11, The Limo, Maybe I should just go home.,Robin
1,11, The Limo, My finger slipped.,Barney
1,11, The Limo," Look, Robin, you're not going home. Come on, it's New Year's Eve. Look, so your date fell through. So what? What do you need a date for? Someone to kiss at midnight? Fine. I'll kiss you at... a little bit after midnight.",Ted
1,11, The Limo," Hi, I'm Robin.",Robin
1,11, The Limo, You're friendly. I haven't eaten dinner yet. Is there anything to eat in this thing?,Robin
1,11, The Limo," That's it. I know what you're jonesing for. Ranjit, take us to Gray's Papaya!",Ted
1,11, The Limo," Oh, yes. Ted, you rock.",Robin
1,11, The Limo," We couldn't go back for Natalya, a human being, but we do have time for hot dogs?",Barney
1,11, The Limo," Yeah, we like hot dogs.",Marshall
1,11, The Limo," No. No. We are already behind schedule. Ted, come on. We have an hour and a half before midnight I don't want to be kissing Ranjit.",Barney
1,11, The Limo, You don't know what you're missing.,Ranjit
1,11, The Limo," Come on, it's only a 20-minute detour.",Ted
1,11, The Limo," Which is exactly how much time I need. Ranjit, stop the car.",Lily
1,11, The Limo, Stopping the car.,Ranjit
1,11, The Limo," Wait. Baby, what are you doing?",Marshall
1,11, The Limo, I'm going home.,Lily
1,11, The Limo, What? No!,Ted
1,11, The Limo," I can't stay in these heels any longer, I just can't. There's a cab over there. I'll just run back to the apartment and change shoes.",Lily
1,11, The Limo, But... hot dogs.,Marshall
1,11, The Limo," Well, I know, baby, I'd love to go, but it's two against one.",Lily
1,11, The Limo," Okay, I'll go with you.",Marshall
1,11, The Limo," No, baby. Baby, you go with them and I'll meet you at, at... party number three.",Lily
1,11, The Limo, Are you sure?,Marshall
1,11, The Limo," If I don't see you, happy new year.",Lily
1,11, The Limo, Don't say that. We'll find each other. We'll find each other.,Marshall
1,11, The Limo, I know we will. ,Lily
1,11, The Limo, Hell of a woman. Let's go get some hot dogs!,Marshall
1,11, The Limo," Ranjit, party number three.",Ted
1,11, The Limo, Party number three.,Ranjit
1,11, The Limo," Oh, yeah! Look at us. Riding around in a limo. Eating hot dogs. It's like we're the president.",Marshall
1,11, The Limo, Hey. I'll bet you're feeling better now.,Ted
1,11, The Limo," Oh, so much better.",Robin
1,11, The Limo, Guys. Is that Moby? I think that that's Moby.,Marshall
1,11, The Limo," Now, kids, Moby was a popular recording artist when I was young.",Future Ted(Narrator)
1,11, The Limo, No way.,Ted
1,11, The Limo, That's totally Moby. That's awesome.,Robin
1,11, The Limo," Should I say something? I should say something, right? Moby! Hey, Moby!",Ted
1,11, The Limo," Oh, my God. He's coming over. Everybody be cool. Everybody be cool.",Barney
1,11, The Limo, Hey.,Ted
1,11, The Limo," What's up? Uh, you, uh, going somewhere?",Ted
1,11, The Limo, You want a ride?,Ted
1,11, The Limo, Welcome.,Ted
1,11, The Limo," Big fan. Barney Stinson. So, uh... what about this party?",Barney
1,11, The Limo," Wow, that sounds awesome.",Robin
1,11, The Limo," Yeah, we'd love to.",Ted
1,11, The Limo," Uh, Ted. Sidebar?",Marshall
1,11, The Limo," Um... Moby, switch up, will you? Yeah, what's up?",Ted
1,11, The Limo, What about Lily?,Marshall
1,11, The Limo, Call her.,Ted
1,11, The Limo, I've been trying to call her. I can't get through. All the circuits are jammed.,Marshall
1,11, The Limo," That's New Year's Eve for you. Well, look, we'll just swing by Moby's party and then afterwards...",Ted
1,11, The Limo," No, I-I can't. Lily's waiting. I gotta... I gotta find her. Okay, I'll meet you at party number three.",Marshall
1,11, The Limo, But... Come on! Moby's party! Moby's party! Moby's par... Ranjit. Moby's party.,Ted
1,11, The Limo, Moby's party.,Ranjit
1,11, The Limo," Yes. Moby... Yeah, it should start high, get higher. This mix is my pride and joy. I never leave home without it.",Barney
1,11, The Limo, Jan... Aah!,Barney
1,11, The Limo," You're not Moby, are you?",Ted
1,11, The Limo," Moby... the recording artist, Moby.",Robin
1,11, The Limo," But when we said, ""Hey, Moby,"" you said, ""Yeah.""",Barney
1,11, The Limo, So your name is Tony?,Ted
1,11, The Limo, Nah.,Ted
1,11, The Limo," No, uh, we're good. We're good. Happy New Year, Not Moby.",Barney
1,11, The Limo, Why did we think that guy was Moby?,Barney
1,11, The Limo," I don't know. I see a short bald hipster, my mind goes straight to Moby.",Ted
1,11, The Limo, That's Marshall's phone. Hello.,Barney
1,11, The Limo," Oh, Marshall, thank God I got through.",Lily
1,11, The Limo," Hey, sexy.",Barney
1,11, The Limo," Barney, where's Marshall?",Lily
1,11, The Limo, He left his phone in the limo. He's out looking for you.,Barney
1,11, The Limo, What? Where?,Lily
1,11, The Limo, Party number three.,Barney
1,11, The Limo," Well, I'm here at party number three and... Oh, my God! Guess who just walked in... Moby!",Lily
1,11, The Limo, Moby?! She's upstairs.,Barney
1,11, The Limo," Lily, you have to get out of there this instant. That's not Moby.",Ted
1,11, The Limo," Uh, no, I know Moby and that's Mo... Does he have a gun?",Lily
1,11, The Limo," Run! Oh, my God, Not Moby's party is party number four. What are the odds?",Ted
1,11, The Limo, Who was that guy?!,Lily
1,11, The Limo," Well, we know it's not Moby and it's not Tony.",Barney
1,11, The Limo," Ranjit, drive!",Ted
1,11, The Limo, Where to?,Ranjit
1,11, The Limo, Party number three!,Ted
1,11, The Limo, Party number three!,Ranjit
1,11, The Limo," No, but I was just at party number three.",Lily
1,11, The Limo," No, no, no, no you were at party number four. You must have looked at the list wrong.",Ted
1,11, The Limo," Well, after that rather unpsyching experience, you know what it's time for? It's time to... what? That's right, re-psych. Re-psy... Where's the...? Oh, my God! Not Moby took my ""Get Psyched"" mix!",Barney
1,11, The Limo," Barney, Barney, Barney, it's not worth it! Let it go. We need to get back on schedule.",Ted
1,11, The Limo," Ah, nuts.",Ranjit
1,11, The Limo," Ranjit, are you sure I can't help?",Ted
1,11, The Limo," No. I am pissed. Ted, I don't want you to see me pissed.",Ranjit
1,11, The Limo," Okay Okay, not a problem. He'll jack it up, slap on a tire and we'll be at party number three in no time.",Ted
1,11, The Limo, I wish Marshall would call. I guess the circuits are jammed.,Lily
1,11, The Limo," Yeah, you know why all the circuits are jammed because everyone's calling their loved ones, everyone around the world. Everyone except Barney. Oh, sure, laugh. Laugh for Barney Stinson. Laugh for the sad clown trapped on his whirling carousel of suits and cigars and bimbos and booze. Round and round it goes. And where's it all heading? Nowhere.",Barney
1,11, The Limo," Is this just 'cause you lost your ""Get Psyched"" mix?",Robin
1,11, The Limo, I'm sorry. Am I not allowed to have a pensive side?,Barney
1,11, The Limo," No. No, not tonight. Not in the limo. We got to stay psyched. Ted went to a lot of trouble to make this an awesome New Year's.  *Shot through the heart And you're to blame, darling*",Robin
1,11, The Limo, *A bad name*,Ranjit
1,11, The Limo, It'll be fine. We'll be out of here in a jiff.,Ted
1,11, The Limo," No. Look, I know this night isn't turning out the way I planned, but...",Ted
1,11, The Limo, I'm not in love... We're just friends. Where are you getting that from?,Ted
1,11, The Limo, That's ridiculous. Wait. Really?,Ted
1,11, The Limo, I can't believe Mary Beth left before midnight.,Lily
1,11, The Limo," Oh, she just had to make an appearance at this other party. It's no big deal.",Ted
1,11, The Limo," The first time I rode in a limo I was five. I was on the way to my grandfather's funeral. I suppose, in a way, I still am.",Barney
1,11, The Limo," Okay, wow, it's getting weird in here. I'm going to call Marshall.",Lily
1,11, The Limo, But he left his phone.,Ted
1,11, The Limo, Marshall! Marshall!,Lily
1,11, The Limo, I'm sorry about your girl.,Robin
1,11, The Limo, Sorry about your guy.,Ted
1,11, The Limo," Well, at least we both have someone to kiss at midnight. Did you forget about our little deal? Because I did not.",Robin
1,11, The Limo," I did not, too.",Ted
1,11, The Limo, Derek. Hi. How's work?,Robin
1,11, The Limo, I'll give you some privacy.,Ted
1,11, The Limo, Marshall!,Lily
1,11, The Limo, Marshall!,Lily
1,11, The Limo," Give it a rest, Ted.",Barney
1,11, The Limo, Give what a rest?,Ted
1,11, The Limo," Trying to turn this night into anything more than what it is, which is New Year's Eve which is the single biggest letdown of a night every single year.",Barney
1,11, The Limo, Marshall!,Lily
1,11, The Limo," Come on, come on, we can still turn this thing around. We've still got ten minutes.",Ted
1,11, The Limo," Stop trying to chase down some magical, perfect New Years, Ted. It doesn't exist.",Barney
1,11, The Limo, Marshall!,Lily
1,11, The Limo, Lily!,Marshall
1,11, The Limo, Holy crap.,Ted
1,11, The Limo, Marshall!,Lily
1,11, The Limo, I knew I'd catch up with you guys eventually. So much to tell. I couldn't find Lily at party number three so I walked... I walked to the next party on the list.,Marshall
1,11, The Limo, Not Moby's party?,Ted
1,11, The Limo," Yes, Moby's party. Check it out. He signed my shirt. And guess what I found. Yeah, I heard it playing at the party, so I swiped it. Yeah, I know. Come on.",Marshall
1,11, The Limo, Come on! Oh! Oh!,Barney
1,11, The Limo," Baby, baby, I was so worried about you. Why didn't you call me?",Lily
1,11, The Limo," I tried, baby. All the circuits were jammed. But wait, there's more. After party number four, I figured you guys went to party number five. And so I went there, too, and it is awesome. I want to cry, it is so awesome. We have to go there.",Marshall
1,11, The Limo, How? We'll never get a cab.,Ted
1,11, The Limo, The flat's fixed.,Ranjit
1,11, The Limo," Let's do this! Come on! In! Go, go, go!",Ted
1,11, The Limo, Natalya?,Lily
1,11, The Limo," Yeah, it turns out she was asleep in the front seat the whole time. Ranjit, why didn't you tell me?",Barney
1,11, The Limo, I didn't want to awake her. She looked so peaceful.,Ranjit
1,11, The Limo," Party number five is 20 blocks away and all the way across town. Ranjit, can you get us there in eight minutes?",Ted
1,11, The Limo, I get you there in six.,Ranjit
1,11, The Limo, I don't think I can do it.,Ranjit
1,11, The Limo, No! Come on!,All
1,11, The Limo," Move, you stupid taxi!",Lily
1,11, The Limo, Three minutes!,Marshall
1,11, The Limo, Come on!,All
1,11, The Limo," Ranjit, put her in park. Dudes, I'm sure party number five is awesome, but it's not the best party in New York. 'Cause this is, right here.",Ted
1,11, The Limo, Cheers. Well said.,Barney
1,11, The Limo, Cheers.,All
1,11, The Limo," And just like that, we were having the perfect New Year's Eve. The funny thing is all night long, I'd been trying to chase something down that was right there in that limo.",Future Ted(Narrator)
1,11, The Limo, Derek?! Derek.,Robin
1,11, The Limo," Hey, uh, come on in.",Ted
1,11, The Limo, I can't believe you made it.,Robin
1,11, The Limo," Here, you need a mint.",Barney
1,11, The Limo," Eight, seven, six, five, four, three, two, one! Happy New Year!",All
1,11, The Limo," You probably want to feel bad for your old man at this point in the story. Well, don't. Not every night has a happy ending. But all of it's important. All of it was leading somewhere. Because suddenly, it was 2006. And 2006 was a big one.",Future Ted(Narrator)
1,11, The Limo," What the hell, man? I thought we had a deal.",Robin
1,11, The Limo, What about your guy? It's midnight. Go kiss him.,Ted
1,11, The Limo," Eh, he kept me waiting. I can keep him waiting.",Robin
1,11, The Limo," Well, a deal is a deal.",Ted
1,11, The Limo, Happy New Year.,Robin
1,10, The Pineapple Incident," Now I remember a lot of stories from back in the days before I met your mother, but there's one story I don't remember. Uncle Marshall still refers to it as the pineapple incident.",Future Ted(Narrator)
1,10, The Pineapple Incident, On the house.,Carl
1,10, The Pineapple Incident, It's my own concoction. I call it the Red Dragon.,Carl
1,10, The Pineapple Incident," We're not really doing shots, are we?",Ted
1,10, The Pineapple Incident, I hope not.,Lily
1,10, The Pineapple Incident," No, no.",Barney
1,10, The Pineapple Incident, These look kinda like blood.,Lily
1,10, The Pineapple Incident," OK, I know that you've all dismissed this theory before, but is there any chance that Carl is a vampire?",Marshall
1,10, The Pineapple Incident, That's ridiculous.,Barney
1,10, The Pineapple Incident," I'm serious. Think about it. He always wears black, we never see him in the daylight, only after dark.",Marshall
1,10, The Pineapple Incident," Oh my God, that does describe a vampire, or you know, a bartender.",Robin
1,10, The Pineapple Incident," Well, I should go get dressed.",Robin
1,10, The Pineapple Incident," Where are you going, buddy? Hot date?",Ted
1,10, The Pineapple Incident," I'll say, she's going out with a billionaire.",Lily
1,10, The Pineapple Incident," Lily, I told you not to call him that.",Robin
1,10, The Pineapple Incident," Wait, you're really going out with a billionaire?",Ted
1,10, The Pineapple Incident, He's not a billionaire. He's a hundred millionaire. Why do people always round up?,Robin
1,10, The Pineapple Incident," So, uh, where's Thurston Howell taking you?",Ted
1,10, The Pineapple Incident, A charity dinner.,Robin
1,10, The Pineapple Incident," Yeah, $2000 a plate.",Lily
1,10, The Pineapple Incident," $1500, Stop rounding up. And it's for third world hunger.",Robin
1,10, The Pineapple Incident, You gonna put out?,Barney
1,10, The Pineapple Incident, What? There's only one reason he's taking her to this dinner and it's not so little Mutu can get his malaria pills.,Barney
1,10, The Pineapple Incident, I think my soul just threw up a little bit.,Lily
1,10, The Pineapple Incident," Well, I'm gonna be late. You guys have fun. Bye.",Robin
1,10, The Pineapple Incident, See ya.,Ted
1,10, The Pineapple Incident, Bye.,Lily
1,10, The Pineapple Incident, You OK?,Marshall
1,10, The Pineapple Incident," Sure, why?",Ted
1,10, The Pineapple Incident, I don't know. Girl of your dreams dating a billionaire.,Marshall
1,10, The Pineapple Incident," OK, first of all, hundred millionaire. And second, she's not the girl of my dreams. We're just friend. Look, it would not be smart if we got together. I mean, I'm looking to settle down. She's looking for...",Ted
1,10, The Pineapple Incident, What? You done? Great. Check out table number four. See that little hottie on the end. She's short but has an ample bosom. I love it. She's like half-boob. Let's go.,Barney
1,10, The Pineapple Incident," Yeah, and say what? What's our big opening line?",Ted
1,10, The Pineapple Incident, Daddy's home.,Barney
1,10, The Pineapple Incident, Daddy's home?,Ted
1,10, The Pineapple Incident, Yeah.,Barney
1,10, The Pineapple Incident," You want us to go over there right now and say to those girls, 'daddy's home.' Really think about that, Barney.",Ted
1,10, The Pineapple Incident," Hm. Yeah, I think it's pretty solid.",Barney
1,10, The Pineapple Incident," OK, think about this, is there even a single item on the menu that has garlic in it?",Marshall
1,10, The Pineapple Incident, Garlic fries.,Lily
1,10, The Pineapple Incident," OK, well, I'll get back to you.",Marshall
1,10, The Pineapple Incident," Oh, daddy's back. See, if you'd taken a moment to think about that...",Ted
1,10, The Pineapple Incident,"  Then Daddy wouldn't have gotten this seven-digit Father's Day card from Amy, huh?",Barney
1,10, The Pineapple Incident, That worked. I hate the world.,Ted
1,10, The Pineapple Incident," Ted, your problem is all you do is think, think, think. I'm teaching you how to do, do, do.",Barney
1,10, The Pineapple Incident, Doo-doo.,Marshall
1,10, The Pineapple Incident, Totally.,Barney
1,10, The Pineapple Incident," So, I think a lot. I happen to have a very powerful brain. It can't be helped.",Ted
1,10, The Pineapple Incident, Oh yes it can.,Barney
1,10, The Pineapple Incident, Interesting,Marshall
1,10, The Pineapple Incident," Ted, I believe you and I met for a reason. It's like the universe was saying, hey, Barney, there's this dude, he's pretty cool but it's your job to make him awesome. Your brain screws you up, Ted. It gets in the way. It happened with Robin, it happened with half-boob. And it's gonna keep on happening until you power down that bucket of neuroses inebriation-style.",Barney
1,10, The Pineapple Incident," So, what? You want me to do a shot.",Ted
1,10, The Pineapple Incident, Oh no. I want you to do five shots.,Barney
1,10, The Pineapple Incident," Oooh, more interesting.",Marshall
1,10, The Pineapple Incident," Barney, I think you've officially...",Ted
1,10, The Pineapple Incident," No, don't think. Do.",Barney
1,10, The Pineapple Incident," Ted, he's right. You overthink. Maybe you should overdrink.",Marshall
1,10, The Pineapple Incident," Ah, Lily, will you tell these guys how stupid they're being?",Ted
1,10, The Pineapple Incident," Guys, you are being immature and moronic and drink, drink, drink",Lily
1,10, The Pineapple Incident," Let me tell you something about this brain, OK?",Ted
1,10, The Pineapple Incident, Even alcohol cannot stop this brain.,Ted
1,10, The Pineapple Incident," I love it, I love it, I love it.",Barney
1,10, The Pineapple Incident," This brain, dear mortals, is no ordinary brain.",Ted
1,10, The Pineapple Incident, This is a superbrain.,Ted
1,10, The Pineapple Incident, This brain is unstoppable. This brain...,Ted
1,10, The Pineapple Incident," And that's all I remember, except for a few hazy memories.",Future Ted(Narrator)
1,10, The Pineapple Incident," But really, the next thing I remember is waking up the following morning.",Future Ted(Narrator)
1,10, The Pineapple Incident," So, there were some unanswered questions.",Future Ted(Narrator)
1,10, The Pineapple Incident, How much did I drink? How did I sprain my ankle?,Future Ted(Narrator)
1,10, The Pineapple Incident, And who was this girl in my bed?,Future Ted(Narrator)
1,10, The Pineapple Incident," OK, what the hell happened last night?",Ted
1,10, The Pineapple Incident," You really don't remember, Superbrain?",Marshall
1,10, The Pineapple Incident," So, Uncle Marshall and Aunt Lily filled me in.",Future Ted(Narrator)
1,10, The Pineapple Incident, And how did you guys like the shots?,Carl
1,10, The Pineapple Incident," I drank all five, bitch.",Ted
1,10, The Pineapple Incident,  I love drunk Ted.,Marshall
1,10, The Pineapple Incident, Marshall thinks you're a vampire.,Ted
1,10, The Pineapple Incident," If he pukes, one of you guys cleans it up.",Carl
1,10, The Pineapple Incident, No dibs. ,Lily
1,10, The Pineapple Incident, Oh. ,Marshall
1,10, The Pineapple Incident, No....Dammit.,Barney
1,10, The Pineapple Incident, How quickly you all forget. I haven't puked since high school. I am vomit-free since ninety-three. Vomit free since ninety-three. That's funny. I'm funny.,Ted
1,10, The Pineapple Incident, Who are you calling?,Lily
1,10, The Pineapple Incident, Robin.,Ted
1,10, The Pineapple Incident," Oh, bad idea.",Marshall
1,10, The Pineapple Incident," No, no, that's a great idea. That's the whole point of getting drunk. You do things you would never do in a million years if you were sober.",Barney
1,10, The Pineapple Incident, Says every girl you've ever slept with.,Lily
1,10, The Pineapple Incident,  Say what?!,Marshall
1,10, The Pineapple Incident," Hello Robin, it's Ted.",Ted
1,10, The Pineapple Incident, Oh hi Ted.,Robin
1,10, The Pineapple Incident," Hello Robin, it's Ted.",Ted
1,10, The Pineapple Incident, Hi Ted. Sounds like you're having fun.,Robin
1,10, The Pineapple Incident," Robin, have I ever told you that I'm vomit-free since ninety-three?",Ted
1,10, The Pineapple Incident," Listen, Ted, I can't really talk right... '93? Dude, that's impressive.",Robin
1,10, The Pineapple Incident," I don't say this enough, but you're a great woman, and a great reporter. You should be on 60 Minutes. You should be one of the minutes.",Ted
1,10, The Pineapple Incident, That's sweet and odd. But I'm kinda on a date right now.,Robin
1,10, The Pineapple Incident," Yeah, and I disagree with Barney. Just 'cause this guy is spending a lot of money doesn't mean you have to put out. Take it slow, Robin, take it slow. Slow.",Ted
1,10, The Pineapple Incident, Bye Ted.,Robin
1,10, The Pineapple Incident, Slow.,Ted
1,10, The Pineapple Incident," Wow, right, that's why we don't do shots.",Marshall
1,10, The Pineapple Incident, Friends don't let friends drink and dial.,Lily
1,10, The Pineapple Incident, I need that phone back.,Ted
1,10, The Pineapple Incident, You'll get this back at the end of class.,Lily
1,10, The Pineapple Incident," Ding, class dismissed. Here you go, kid, you call whoever you want.",Barney
1,10, The Pineapple Incident, Thank you kind sir. At least someone appreciates the fact that I'm doing and not thinking. And now I don't think I won't not go to the bathroom.,Ted
1,10, The Pineapple Incident, Cheap Trick? Oh Ted.,Marshall
1,10, The Pineapple Incident," Hello again, Ted.",Robin
1,10, The Pineapple Incident," Hey, it's me again.",Ted
1,10, The Pineapple Incident,  Plain to see again.,Ted
1,10, The Pineapple Incident,  Please can I see you every day?,Ted
1,10, The Pineapple Incident,  I love everyone in this bar.,Ted
1,10, The Pineapple Incident," And we love you, drunk Ted.",Marshall
1,10, The Pineapple Incident,  I'm a fool again.,Ted
1,10, The Pineapple Incident,  I fell in love...,Ted
1,10, The Pineapple Incident, Ted?,Robin
1,10, The Pineapple Incident," Well, that explains the ankle.",Ted
1,10, The Pineapple Incident, And then we brought you home and put you to bed.,Lily
1,10, The Pineapple Incident, Was there anyone else in there with me?,Ted
1,10, The Pineapple Incident, There's a girl in there.,Lily
1,10, The Pineapple Incident, I know.,Ted
1,10, The Pineapple Incident, And a pineapple.,Marshall
1,10, The Pineapple Incident, I know.,Ted
1,10, The Pineapple Incident, Who is she?,Lily
1,10, The Pineapple Incident, I don't know.,Ted
1,10, The Pineapple Incident, Hello.,Barney
1,10, The Pineapple Incident, Why are you sleeping in our tub?,Ted
1,10, The Pineapple Incident, The porcelain keeps the suit from wrinkling.,Barney
1,10, The Pineapple Incident," Wait, were you here when I went to the bathroom in the middle of the night?",Lily
1,10, The Pineapple Incident," Don't worry, I slept through it.  I totally didn't sleep through it. For a little girl, you've got a big tank.",Barney
1,10, The Pineapple Incident, How did you get in here anyway? We put Ted to bed around one.,Marshall
1,10, The Pineapple Incident," Oh, you put Ted to bed all right.",Barney
1,10, The Pineapple Incident, You guys take care of me. You guys are the best. I love you guys so much.,Ted
1,10, The Pineapple Incident," Good night, Ted.",Lily
1,10, The Pineapple Incident," Love you too, buddy.",Marshall
1,10, The Pineapple Incident, I'm back baby doll!,Ted
1,10, The Pineapple Incident," Hey, hey hey hey, he rallies. And the night begins now.",Barney
1,10, The Pineapple Incident," All right, game face on. Carl, two more. All right, all right, what do we think of this one?",Barney
1,10, The Pineapple Incident, I think....,Ted
1,10, The Pineapple Incident," Ehhh! Trick question, no thinking. You know what time it is? It's do o'clock. Let's ride.",Barney
1,10, The Pineapple Incident, Bring it.,Ted
1,10, The Pineapple Incident, Have you met Ted?,Barney
1,10, The Pineapple Incident, You're calling Robin.,Barney
1,10, The Pineapple Incident, I'm calling Robin.,Ted
1,10, The Pineapple Incident," Ted, as your mentor and spiritual guide, I forbid you from calling her.",Barney
1,10, The Pineapple Incident, Oh yeah? What you gonna do?,Ted
1,10, The Pineapple Incident," If you complete that call, I will set your coat on fire.",Barney
1,10, The Pineapple Incident, You're bluffing.,Ted
1,10, The Pineapple Incident," Hello, Robin, it's Ted.",Ted
1,10, The Pineapple Incident," Ted, for the last time, stop.",Robin
1,10, The Pineapple Incident, Ted!,Robin
1,10, The Pineapple Incident, You set me on fire.,Ted
1,10, The Pineapple Incident," Real suede wouldn't have gone up so fast. You got robbed, this is a blend.",Barney
1,10, The Pineapple Incident, You set me on fire. And who's the girl in my bed?,Ted
1,10, The Pineapple Incident, And a pineapple. Am I the only one who's curious about the pineapple?,Marshall
1,10, The Pineapple Incident, Who is she?,Barney
1,10, The Pineapple Incident, I have no idea.,Ted
1,10, The Pineapple Incident, Nice.,Barney
1,10, The Pineapple Incident, You really don't know who that is?,Ted
1,10, The Pineapple Incident," No, after I hosed you down with a beverage gun, I brought you back here.",Barney
1,10, The Pineapple Incident, I better not have gotten burned.,Ted
1,10, The Pineapple Incident, Did any of you write that?,Ted
1,10, The Pineapple Incident,"  Hi, I'm Ted, if lost, please call...Who's number is that?",Lily
1,10, The Pineapple Incident, I don't know.,Ted
1,10, The Pineapple Incident," Dude, call it. Hold on, I'm gonna make some popcorn.",Marshall
1,10, The Pineapple Incident," OK, you can call now. God, this is intense, I love it.",Marshall
1,10, The Pineapple Incident," Uh, hi, who is this?",Ted
1,10, The Pineapple Incident, It's Ted.,Ted
